STARLINK-1007           
1 44713U 19074A   24069.71109117  .00001595  00000+0  12591-3 0  9998
2 44713  53.0543 223.6185 0001261  88.3946 271.7188 15.06405915238728
STARLINK-1008           
1 44714U 19074B   24069.68993450  .00005417  00000+0  38215-3 0  9994
2 44714  53.0522 223.7153 0001215 102.2071 257.9054 15.06409452238724
STARLINK-1009           
1 44715U 19074C   24068.81637020 -.00001784  00000+0 -10092-3 0  9995
2 44715  53.0534 227.6354 0001354  98.6079 261.5063 15.06391087238583
