STARLINK-1671
1 46554U 20070Y   24095.34822168 -.00000472  00000+0 -12768-4 0  9999
2 46554  53.0549  83.5274 0001451  93.5984 266.5171 15.06393622193558
STARLINK-1672
1 46537U 20070F   24095.41873557  .00007812  00000+0  54255-3 0  9995
2 46537  53.0530  98.2134 0001500  81.4910 278.6249 15.06415184193061
STARLINK-1673
1 46327U 20062C   24095.86472099  .00001560  00000+0  12361-3 0  9994
2 46327  53.0543 296.2106 0001285  90.4141 269.6996 15.06389465198401
STARLINK-1675
1 46575U 20070AV  24095.58457728 -.00000283  00000+0 -80605-7 0  9992
2 46575  53.0545  57.4653 0001425  90.2486 269.8666 15.06396902193931
STARLINK-1676
1 46556U 20070AA  24095.27495324  .00001403  00000+0  11309-3 0  9995
2 46556  53.0533  98.8561 0001454  91.2421 268.8735 15.06392963193339
STARLINK-1677
1 46576U 20070AW  24095.65415056  .00000548  00000+0  55702-4 0  9998
2 46576  53.0545  82.1529 0001546  80.6381 279.4782 15.06400781193601
STARLINK-1678
1 46538U 20070G   24095.39660294  .00001227  00000+0  10121-3 0  9993
2 46538  53.0544  98.3094 0001374  90.8715 269.2432 15.06403329193348
STARLINK-1679
1 46557U 20070AB  24095.65681723  .00000487  00000+0  51576-4 0  9990
2 46557  53.0540  81.5127 0001480  89.2599 270.8559 15.06398893193624
STARLINK-1690
1 46358U 20062AK  24095.82048564  .00002680  00000+0  19876-3 0  9992
2 46358  53.0544 296.4084 0000950  84.7249 275.3849 15.06398637198408
STARLINK-1692
1 46542U 20070L   24095.70992557 -.00000541  00000+0 -17434-4 0  9998
2 46542  53.0533  96.9037 0001266  80.4441 279.6691 15.06383254193417
STARLINK-1693
1 46543U 20070M   24095.69515058 -.00000161  00000+0  81100-5 0  9993
2 46543  53.0531  96.9699 0001328  88.6237 271.4904 15.06394821193411
STARLINK-1694
1 46544U 20070N   24095.69102095  .00004306  00000+0  30772-3 0  9998
2 46544  53.0535  81.9856 0001474  85.8483 274.2675 15.06406335193611
STARLINK-1695
1 46329U 20062E   24095.87762248 -.00005277  00000+0 -33546-3 0  9994
2 46329  53.0549 276.1489 0001054  86.3981 273.7128 15.0641848619868
STARLINK-1696
1 46545U 20070P   24095.26759012 -.00000217  00000+0  43361-5 0  9997
2 46545  53.0541  98.8892 0001462  86.4270 273.6886 15.06393819193321
STARLINK-1697
1 46546U 20070Q   24095.38554145  .00002080  00000+0  15845-3 0  9994
2 46546  53.0544  98.3570 0001380  84.0506 276.0640 15.06404348193345
STARLINK-1698
1 46547U 20070R   24095.38925381  .00028906  00000+0  61625-3 0  9991
2 46547  53.0526  94.5552 0001512  92.6921 267.4258 15.44700241193406
