Var1,Var2,Var3,Var4,Var5,Var6
GS 1 Transmitter,Gs 2 Receiver,1,22-Apr-2024 00:40:00,22-Apr-2024 00:43:00,180
GS 1 Transmitter,Gs 2 Receiver,2,22-Apr-2024 12:38:00,22-Apr-2024 12:42:00,240
